id,city,district,kind,building_id,owner_person_id,name,description,quarter,typology,wealth,x_m,y_m,yaw_deg,w_m,d_m,tag,source_ref
prophets_court_home_2_place,city_of_the_moon,The Prophet's Court,elite house,,,Elite house,Fired-brick plinth whitewash or cone mosaic and a garden.,prophets_court,home_elite,elite,116.7,173.6,38.8,16,14,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_elite
prophets_court_home_3_place,city_of_the_moon,The Prophet's Court,elite house,,,Elite house,Fired-brick plinth whitewash or cone mosaic and a garden.,prophets_court,home_elite,elite,132.0,184.7,33.2,16,14,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_elite
mudhif_place,city_of_the_moon,The Reed Quarter,reed guest hall (mudhif),,,The Reed Guest Hall,A great arched reed hall.,reed_quarter,mudhif,civic,171.3,-36.8,7.1,14,6,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv mudhif
whisperers_safehouse_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,The Whisperers' House,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,171.0,-26.0,20.3,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
floating_shrine_place,city_of_the_moon,The Reed Quarter,floating shrine,,,The Floating Shrine,A reed platform shrine on the water.,reed_quarter,floating_shrine,sacred,176.3,-52.2,-9.1,5,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv floating_shrine
reed_house_1_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,186.1,-49.6,-18.7,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_2_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,183.4,-29.5,3.3,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_3_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,163.8,-18.9,9.2,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_4_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,192.3,-41.3,-16.4,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_5_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,179.6,-19.5,-14.5,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_6_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,192.8,-57.8,4.9,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
reed_house_7_place,city_of_the_moon,The Reed Quarter,reed house on stilts,,,A Reed House on Stilts,Arched reed bundles nets and a canoe.,reed_quarter,reed_house,poor,153.0,-16.2,23.4,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv reed_house
warchief_envoy_tent_place,city_of_the_moon,The Newcomers' Terraces,warchief's envoy tent,,,The Warchief's Envoy Tent,A great tent with horse tack and felt.,newcomers_terraces,warchief_tent,comfortable,120.0,215.0,-15.3,10,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv warchief_tent
migrant_cattle_pen_place,city_of_the_moon,The Newcomers' Terraces,cattle pen,,,The Migrants' Cattle Pen,Reed fences cattle and herdsmen.,newcomers_terraces,cattle_pen,poor,116.2,229.2,-7.7,12,9,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv cattle_pen
foreigners_lane_1_place,city_of_the_moon,The Newcomers' Terraces,foreigners' lane house,,,A House in the Foreigners' Lane,Carpets hung out and a foreign god's niche.,newcomers_terraces,home_foreign,modest,112.7,200.9,20.4,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_foreign
foreigners_lane_2_place,city_of_the_moon,The Newcomers' Terraces,foreigners' lane house,,,A House in the Foreigners' Lane,Carpets hung out and a foreign god's niche.,newcomers_terraces,home_foreign,modest,135.9,220.8,20.0,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_foreign
foreigners_lane_3_place,city_of_the_moon,The Newcomers' Terraces,foreigners' lane house,,,A House in the Foreigners' Lane,Carpets hung out and a foreign god's niche.,newcomers_terraces,home_foreign,modest,103.4,221.9,15.1,9,8,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv home_foreign
migrant_tent_1_place,city_of_the_moon,The Newcomers' Terraces,migrant tent,,,A Migrant Tent,Black goat-hair tent and dung fire.,newcomers_terraces,migrant_tent,poor,131.3,207.8,-4.6,7,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv migrant_tent
migrant_tent_2_place,city_of_the_moon,The Newcomers' Terraces,migrant tent,,,A Migrant Tent,Black goat-hair tent and dung fire.,newcomers_terraces,migrant_tent,poor,118.8,241.1,-2.4,7,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv migrant_tent
migrant_tent_3_place,city_of_the_moon,The Newcomers' Terraces,migrant tent,,,A Migrant Tent,Black goat-hair tent and dung fire.,newcomers_terraces,migrant_tent,poor,108.2,212.9,14.4,7,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv migrant_tent
migrant_tent_4_place,city_of_the_moon,The Newcomers' Terraces,migrant tent,,,A Migrant Tent,Black goat-hair tent and dung fire.,newcomers_terraces,migrant_tent,poor,147.3,218.7,-15.2,7,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv migrant_tent
migrant_tent_5_place,city_of_the_moon,The Newcomers' Terraces,migrant tent,,,A Migrant Tent,Black goat-hair tent and dung fire.,newcomers_terraces,migrant_tent,poor,102.8,194.4,-2.3,7,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv migrant_tent
garden_of_tombs_place,city_of_the_moon,The Garden of Tombs,the garden of tombs,,,The Garden of Tombs,Grave mounds brick vaults and offering tubes.,garden_of_tombs,necropolis,civic,40.0,-110.0,15.3,26,20,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv necropolis
tomb_keepers_hut_place,city_of_the_moon,The Garden of Tombs,tomb keeper's hut,,,The Tomb Keeper's Hut,A lamp and a register of the dead.,garden_of_tombs,tomb_keeper,poor,48.0,-127.2,-7.5,6,5,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv tomb_keeper
tannery_place,city_of_the_moon,The Garden of Tombs,tannery,,,The Tannery,Soaking pits and hides on frames downwind.,garden_of_tombs,tannery,poor,27.1,-91.6,-14.8,14,10,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv tannery
brickyard_place,city_of_the_moon,The Garden of Tombs,brick-making yard,,,The Brick-Making Yard,Clay pits and rows of bricks drying in the sun.,garden_of_tombs,brickyard,poor,22.8,-130.6,-9.0,18,12,INVENTED,INVENTED (D-018/D-025); docs/city-of-the-moon.md; building_types.csv brickyard
fields_beyond_the_gate_place,city_of_the_moon,Beyond the Moon Gate,field,,,The Barley Fields,"The barley and wheat fields along the river road outside the Moon Gate, hoed and hauled at first light while the air is still cool.",beyond_the_gate,field,civic,-150.0,0.0,0.0,40,30,INVENTED,INVENTED (D-018; D-020); schedules.csv field_hands_first_light; dialogues.csv breaking_retributor_of_utu (the river road below the moon gate); notes L57 (sowing wheat and barley)
grazing_lands_place,city_of_the_moon,Beyond the Moon Gate,pasture,,,The Grazing Lands,The grazing lands beyond the walls where the street's flocks are driven at first light and brought back through the gate to be counted before dark.,beyond_the_gate,pasture,civic,-150.0,0.0,21.3,40,30,INVENTED,INVENTED (D-018; D-020); schedules.csv herds_out_to_pasture;herds_home_before_dark
